GPSC,GPSC__colour
1,#4867aa
2,#8da9ac
3,#8854d2
4,#0094df
5,#9c34b3
6,#57a627
7,#db75f1
8,#8ea91e
9,#4c71e1
10,#dbb532
11,#5d4dae
12,#8cc14b
13,#bc5fd1
14,#3cca7c
15,#bd2c9b
16,#3d9945
17,#e55abe
18,#4cc48c
19,#e52f66
20,#81be6d
21,#9479e8
22,#517820
23,#df7ddc
24,#7e9637
25,#8d439a
26,#b4ba5c
27,#b88ae6
28,#78a173
29,#c39c37
30,#996aba
31,#e18e31
32,#8490db
33,#d86831
34,#3fc6d1
35,#e64f49
36,#68c6a5
37,#da3a83
38,#2c7040
39,#af3a82
40,#5f955c
41,#e96da2
42,#d165ec
43,#31957f
44,#b33321
45,#52a2d8
46,#cb455e
47,#b4b270
48,#d483c9
49,#958031
50,#c4a1e1
51,#65682a
52,#89568c
53,#dc9a6c
54,#9f4762
55,#985f2b
56,#da89ae
57,#ab5445
58,#e28180
59,#008982
60,#f93254
61,#64dd58
62,#8e1ca7
63,#bcd139
64,#2b6bf4
65,#487600
66,#52da5c
67,#ff8df6
68,#2addc5
69,#aa2200
70,#01b1ff
71,#962949
72,#019fbc
73,#ffaaa7
74,#d821a3
75,#994e60
76,#4bc75c
77,#9845c1
78,#8bbe38
79,#4a5cd4
80,#4a9d30
81,#c942b0
82,#6ac27c
83,#d975e2
84,#b5b53a
85,#9576eb
86,#d1a63b
87,#54bd31
88,#4f79db
89,#e08d31
90,#6e4fac
91,#799537
92,#e14ba1
93,#43873b
94,#ed4585
95,#58c8a9
96,#da3a60
97,#3fc6d2
98,#de443f
99,#4aa5d4
100,#e1652a
101,#6c94d6
102,#b34129
103,#24938a
104,#b23d84
105,#48986e
106,#9b4fa6
107,#36723e
108,#b83969
109,#9975ff
110,#b1c100
111,#226a4d
112,#e282be
113,#566621
114,#ba91dd
115,#8b7926
116,#6361a1
117,#b1b26c
118,#ec50cc
119,#8d4a78
120,#7f7c46
121,#ae6b9c
122,#00aa4b
123,#9f5e21
124,#df8ea5
125,#d09967
126,#ad4150
127,#e8866a
128,#9c5b3f
129,#e47382
130,#ff3988
131,#34c7dd
132,#cf3f29
133,#3bce80
134,#9d43c0
135,#4ec957
136,#ce3a9e
137,#66b132
138,#9c72e7
139,#a5ba2e
140,#525dcc
141,#c2ab3a
142,#5a85e8
143,#db9835
144,#8a439f
145,#5ab25d
146,#dd71d6
147,#3a7f2c
148,#e03873
149,#247f00
150,#51d2a1
151,#d33b4d
152,#40ad75
153,#ff5eb6
154,#709b00
155,#cb4b85
156,#9cbc63
157,#8d60af
158,#7c9032
159,#cf8ed5
160,#676d1a
161,#9e99df
162,#dd6e2b
163,#4a91ce
164,#a15328
165,#56b2e0
166,#8d94ff
167,#e8c32d
168,#e87361
169,#37b6b0
170,#a73e51
171,#6cc6a5
172,#a55991
173,#2a4f9d
174,#ab9500
175,#407e47
176,#e588a8
177,#23623a
178,#914567
179,#79a567
180,#5d4396
181,#5465a6
182,#c2ab6d
183,#25735a
184,#e1936b
185,#3a9374
186,#be6a67
187,#bbd063
188,#96187a
189,#616d34
190,#8e6d2e
191,#d043a8
192,#4ec958
193,#9463dd
194,#a7c133
195,#576cdd
196,#4d9f2b
197,#01762d
198,#9d3ca9
199,#77c467
200,#d872de
201,#4f8328
202,#7050ac
203,#d1b13c
204,#648ee5
205,#de8a30
206,#5667a9
207,#93a83c
208,#ed5096
209,#4bcfa7
210,#e43d61
211,#4ba463
212,#bf276c
213,#81c48f
214,#b90077
215,#01b095
216,#b94b88
217,#3d7f43
218,#b990e0
219,#637116
220,#784a8b
221,#a28422
222,#639dd3
223,#da572c
224,#3fc0d1
225,#b83536
226,#399d82
227,#a6405a
228,#306a3c
229,#da8ac0
230,#536c31
231,#9e5f9f
232,#aab56e
233,#9a537c
234,#35743b
235,#de7265
236,#838c48
237,#e37f95
238,#645f20
239,#995258
240,#cea665
241,#a05528
242,#e1937b
243,#8d6c32
244,#db3963
245,#43c35f
246,#a454ce
247,#70bc3d
248,#606bdf
249,#b2c634
250,#d257bb
251,#50942f
252,#e13990
253,#59cfa2
254,#db3941
255,#42c0c7
256,#cc4222
257,#54b1e0
258,#e2733b
259,#5370bd
260,#c6b13d
261,#5b53a8
262,#93ad38
263,#cc0039
264,#49ceff
265,#e45814
266,#8846a0
267,#86c174
268,#af3676
269,#4b9f62
270,#c587e0
271,#3b772c
272,#e56998
273,#327243
274,#d589be
275,#7e862b
276,#8162a6
277,#e09a36
278,#498dcb
279,#a5812c
280,#999ce1
281,#596416
282,#955888
283,#41a386
284,#c44f4b
285,#d078c2
286,#a8444e
287,#b3b66f
288,#9d476e
289,#758348
290,#dd8494
291,#005787
292,#ff563d
293,#0b6030
294,#dd9eff
295,#505e25
296,#e68671
297,#86632f
298,#914d5a
299,#d39b69
300,#a45324
301,#af3999
302,#53c24c
303,#c469e0
304,#90bf3c
305,#8546b7
306,#c7ba3a
307,#5b66d6
308,#81992a
309,#e26cc6
310,#419235
311,#d23484
312,#58c57c
313,#e43f69
314,#52c8ab
315,#556300
316,#faaeea
317,#9a7300
318,#f0b0d5
319,#9f4800
320,#823963
321,#db3942
322,#3abec8
323,#dd512b
324,#5884dd
325,#e4802d
326,#59a9dc
327,#e1a13b
328,#ae7edb
329,#a79330
330,#80569a
331,#a6bc71
332,#e86ba0
333,#32763e
334,#b3314e
335,#5ba97c
336,#b03e2d
337,#2c7c62
338,#e36b70
339,#6c9045
340,#d28dc6
341,#5a6713
342,#9d9bde
343,#bc5c26
344,#476da6
345,#f6bb6f
346,#9d1a51
347,#c49a6f
348,#b27a2d
349,#a84773
350,#56642b
351,#e48b9b
352,#938b4b
353,#935575
354,#d7a670
355,#8b3d4d
356,#826328
357,#b05b5b
358,#e48668
359,#98552e
360,#994f72
361,#68cb4b
362,#9541ad
363,#41c157
364,#cf43a8
365,#4a9c31
366,#7461d5
367,#91bd39
368,#cf75e0
369,#46bd76
370,#e64586
371,#56cbad
372,#dc4355
373,#3dc2cc
374,#d9552d
375,#558aec
376,#b6b63a
377,#3a62b9
378,#d2a63a
379,#755ca4
380,#7b9838
381,#a1559a
382,#3f7c31
383,#b3396b
384,#92be6e
385,#db89c3
386,#5d7018
387,#a497df
388,#de8930
389,#57abde
390,#b0372e
391,#33977d
392,#e47f91
393,#3b8554
394,#e68569
395,#4e75af
396,#9a8a32
397,#bb0049
398,#734a0b
399,#ff759f
400,#93320c
401,#ff9fb6
402,#9d2327
403,#ff9f6e
404,#cf8689
405,#ff7776
406,#ff988d
407,#a75355
408,#69b786
409,#9f592b
410,#2f7b63
411,#d59d6a
412,#1a6447
413,#c0b46f
414,#296437
415,#90692c
416,#4d662b
417,#6e6517
418,#849357
419,#726c37
420,#d1613e
421,#5e64d7
422,#61c145
423,#9b54cb
424,#98c037
425,#d05cc6
426,#43c86e
427,#e54181
428,#5f9823
429,#ce4f9d
430,#388f3d
431,#8851a2
432,#b4b43b
433,#6080df
434,#e6a42c
435,#5c6bab
436,#e04e2b
437,#4bcbd0
438,#bf2d3c
439,#5ac897
440,#b03565
441,#7fba69
442,#c493dd
443,#516912
444,#e484af
445,#507f36
446,#e75967
447,#2ea59b
448,#a53f1c
449,#61a2da
450,#c57324
451,#24765a
452,#ed864c
453,#2d7442
454,#a76497
455,#828931
456,#924869
457,#55a479
458,#a55155
459,#9a4876
460,#e78f94
461,#505e26
462,#db7d6b
463,#3c9779
464,#995637
465,#ca9e3d
466,#6d6217
467,#d79e6c
468,#916127
469,#9f813e
470,#38c481
471,#a253d2
472,#5bc452
473,#c746b6
474,#429532
475,#585fd8
476,#b4b92e
477,#517ae6
478,#8cb844
479,#6b51b2
480,#d6ab3d
481,#aa81e6
482,#597f24
483,#e34795
484,#529659
485,#9349a2
486,#898e31
487,#e181d8
488,#2f7038
489,#b13d83
490,#79c38d
491,#df4150
492,#4dcbc1
493,#e46230
494,#4cbee0
495,#b33922
496,#4f9ad7
497,#dd8b31
498,#445eac
499,#a4802c
500,#7c8fe0
501,#bcb86c
502,#7b60a4
503,#576321
504,#b9a1e1
505,#9e582a
506,#4b6da6
507,#df7a5b
508,#399d85
509,#c33b62
510,#7e97e1
511,#df82ab
512,#859458
513,#b374b3
514,#84662e
515,#924f77
516,#db9e6e
517,#9e4a55
518,#e79193
519,#d36b6f
520,#53a7d7
521,#e45e30
522,#4457ca
523,#b6c233
524,#9c4ac7
525,#54c65f
526,#ce47a8
527,#7db838
528,#6a77f0
529,#41922e
530,#d774e0
531,#aaaa3d
532,#7153ba
533,#cea339
534,#7775d0
535,#e08d32
536,#5390e2
537,#aa4d1c
538,#45c7c8
539,#d3337b
540,#62c892
541,#90469f
542,#67852a
543,#be8ae3
544,#4a9b5c
545,#e34b5a
546,#3f9f84
547,#b93131
548,#35744b
549,#ea628d
550,#277257
551,#a83d5b
552,#9fb86f
553,#6b559b
554,#7e701d
555,#4167a5
556,#e2815e
557,#9d9adc
558,#505d19
559,#a76bab
560,#6a733a
561,#e491c3
562,#988e4e
563,#944377
564,#d7a671
565,#c16993
566,#9e6b32
567,#dd81aa
568,#db8282
569,#a14e3d
570,#aa4260
571,#49aa33
572,#9b3eb3
573,#8ebe36
574,#a86be7
575,#59ca69
576,#ce41a7
577,#4d8729
578,#de75e0
579,#b6b438
580,#6452c0
581,#daae40
582,#6079e8
583,#e08d33
584,#4b62a8
585,#d96327
586,#52b7e5
587,#cf402b
588,#7e3e53
589,#4fd256
590,#8b39b6
591,#43ac2d
592,#9366e9
593,#7ccb4a
594,#bf209e
595,#35cf70
596,#ab3eb6
597,#2c9019
598,#d96be5
599,#41b352
600,#e45bc7
601,#6da220
602,#4e5cd5
603,#b2c22f
604,#b868df
605,#7cbc4a
606,#d0379b
607,#7fd070
608,#b13394
609,#358528
610,#df3891
611,#4dcc93
612,#ea377d
613,#5ebf72
614,#9f52b6
615,#a2c04b
616,#4483f2
617,#eb9519
618,#4362c2
619,#d5b731
620,#654bac
621,#dea62a
622,#9279e6
623,#849c2d
624,#ea87ea
625,#359e58
626,#ea60b2
627,#79b55a
628,#872b83
629,#bfb045
630,#3175c9
631,#e37021
632,#748fec
633,#b38b19
634,#b586e2
635,#4f791f
636,#9c3f97
637,#247a3a
638,#e0234d
639,#40d5d9
640,#c7291e
641,#34b9e1
642,#e75b2b
643,#4e9ce2
644,#b54311
645,#70bdf0
646,#e94c42
647,#5fd2b8
648,#c82e3c
649,#41beca
650,#ef5459
651,#258e62
652,#ee4d69
653,#55b495
654,#c82951
655,#56a476
656,#cd4281
657,#709d4c
658,#b85ab2
659,#757913
660,#824598
661,#efb454
662,#7f61b4
663,#e58d37
664,#5272b1
665,#b8621c
666,#8f98e5
667,#b5731f
668,#535797
669,#e19d4f
670,#377da9
671,#ed674d
672,#319c9a
673,#e24e75
674,#89c080
675,#dd77c7
676,#445a06
677,#de91d9
678,#3e7030
679,#f1709d
680,#235e31
681,#ec89bc
682,#588a48
683,#a1468a
684,#a1b86c
685,#9d316c
686,#5e7222
687,#b36ab0
688,#415a1f
689,#c7a9ed
690,#956f22
691,#8478bc
692,#bc9449
693,#794d8b
694,#b3b370
695,#ac80c6
696,#b49b00
697,#cb679f
698,#367042
699,#b02d55
700,#4a8a63
701,#c14f7d
702,#9c465d
703,#ea675f
704,#64ca5c
705,#be452d
706,#659ccc
707,#9c3116
708,#9c9ed9
709,#db7243
710,#9441ba
711,#b43836
712,#afd35f
713,#a32a3b
714,#58a629
715,#ce5360
716,#c96adf
717,#e46f84
718,#a4bb2f
719,#f5847e
720,#4c5fd5
721,#f49264
722,#deaf3f
723,#dc7262
724,#9b76e7
725,#98345a
726,#3d933f
727,#ee96a9
728,#c83aa2
729,#c8697d
730,#4bc686
731,#ce92c0
732,#d74386
733,#ac516b
734,#94b152
735,#a44b29
736,#704caa
737,#97659e
738,#60793c
739,#a45e86
740,#bbab3d
741,#f1a484
742,#5c88ed
743,#bb5e56
744,#df8c31
745,#e29c63
746,#396db5
747,#cf7b5d
748,#e56430
749,#d68680
750,#315d19
751,#924046
752,#c73429
753,#9d5039
754,#54c1ae
755,#884b6a
756,#d3b572
757,#de3a5e
758,#ab6267
759,#de272f
760,#a0622c
761,#e876cf
762,#bf8459
763,#6a7f23
764,#d6aa7c
765,#6a65b8
766,#96663f
767,#a47921
768,#79501e
769,#4f96d0
770,#93853b
771,#bc4b35
772,#6d6220
773,#30866c
774,#808e4d
775,#a8519e
776,#5e622c
777,#c88acb
778,#56b854
779,#dd57b9
780,#a0b135
781,#7066d2
782,#d09c36
783,#a351b8
784,#3f8a57
785,#d33d67
786,#4bc0ba
787,#d34239
788,#6187c9
789,#d97030
790,#bb4689
791,#94b26c
792,#9c4c6a
793,#716f27
794,#e27f87
795,#ce9864
796,#a25434
797,#003b7c
798,#f7bd15
799,#0065e7
800,#86cf34
801,#8b0097
802,#5fff8c
803,#9e55dd
804,#a6ff7f
805,#fc79fd
806,#007a10
807,#e838b2
808,#02d897
809,#eb89ff
810,#678400
811,#0281ef
812,#f59604
813,#a98fff
814,#b0a000
815,#340045
816,#eaff9e
817,#98005f
818,#7bffee
819,#e93834
820,#07e0ff
821,#930012
822,#57c6ff
823,#b78f00
824,#71abff
825,#ffa24e
826,#027fc3
827,#ffda73
828,#fb9dff
829,#003a06
830,#ff5ba3
831,#01996c
832,#ff5e6f
833,#01acb2
834,#7b001f
835,#b8ffc6
836,#651500
837,#e6baff
838,#686b00
839,#0082ab
840,#ff9c81
841,#aec993
842,#6d2f31
843,#ffe9b0
844,#674000
845,#ffa4b5
846,#dbc672
847,#5e6ffa
848,#9ad83d
849,#a763ed
850,#53d352
851,#b0009b
852,#03d363
853,#d25adf
854,#20e379
855,#f663e2
856,#3fb42d
857,#8c1b94
858,#54a300
859,#643aa7
860,#008e0a
861,#c4008a
862,#01ce75
863,#ff2b79
864,#3ee098
865,#d0016f
866,#01a246
867,#ff4fab
868,#008425
869,#eb8bff
870,#bbd146
871,#005ab2
872,#e8c321
873,#4f98ff
874,#e27d00
875,#018fe3
876,#cc3908
877,#3fdbd3
878,#ec204a
879,#00934b
880,#ff4493
881,#89d974
882,#91227a
883,#8ad88e
884,#c4004e
885,#01a172
886,#fa3d4a
887,#01b8bb
888,#ca002c
889,#63c1ff
890,#a12f00
891,#86afff
892,#ba9f00
893,#294fa0
894,#ffa83f
895,#564599
896,#998500
897,#a09aff
898,#026108
899,#ff92f0
900,#435a0f
901,#c6a3ff
902,#b45900
903,#005f9a
904,#ff8a52
905,#008c74
906,#a80228
907,#82d5c0
908,#9c195e
909,#99d49b
910,#783a80
911,#635c00
912,#ff82c4
913,#185f38
914,#ff7082
915,#724a13
916,#f7afef
917,#965600
918,#ba8ab7
919,#7d4514
920,#ffa2b7
921,#972c28
922,#ebbf80
923,#75406d
924,#ff715c
925,#97264d
926,#fab799
927,#8d3443
928,#ff9987
929,#935d44
930,#c07882
931,#a96464
942,#2baad3
972,#c5793e
989,#956cc6