Serotype,Serotype__colour,ggpattern,Vtype
1,#416800,none,PCV13
2,#c36bf5,stripe,NVT
3,#7bcd36,none,PCV13
4,#9020aa,none,PCV7
5,#0cc44f,none,PCV13
06A,#bd009a,none,PCV13
6A,#bd009a,none,PCV13
6E(6A),#bd009a,stripe,NVT
06B,#3c9f00,stripe,NVT
6B,#3c9f00,stripe,NVT
6E(6B),#3c9f00,stripe,NVT
06C,#bd009a,stripe,NVT
6C,#bd009a,stripe,NVT
6D,#9bb500,stripe,NVT
7B,#796bf6,stripe,NVT
7C+,#a6d649,stripe,NVT
7C,#a6d649,stripe,NVT
7F,#c753d8,none,PCV13
8,#00880d,stripe,NVT
9A,#d4008e,stripe,NVT
9L,#00c979,stripe,NVT
9N,#d1006a,stripe,NVT
09V,#01d7a7,none,PCV7
9V,#01d7a7,none,PCV7
10A,#ff3a65,stripe,NVT
10B,#01d9c8,stripe,NVT
10C,#ca121d,stripe,NVT
10F,#217dff,stripe,NVT
10X,#217dff,stripe,NVT
11C,#e8b500,stripe,NVT
11A,#3647b2,stripe,NVT
11B,#eda400,stripe,NVT
12B/12F,#0283f5,stripe,NVT
12F,#0283f5,stripe,NVT
12B,#0283f5,stripe,NVT
13,#ff9a17,stripe,NVT
14,#0156b8,none,PCV7
15A,#c5ac00,stripe,NVT
15A+,#c5ac00,stripe,NVT
15C,#b98aff,stripe,NVT
15C+,#b98aff,stripe,NVT
15B,#b98aff,stripe,NVT
15B+,#b98aff,stripe,NVT
15B/15C,#b98aff,stripe,NVT
15F,#4a8c00,stripe,NVT
16F,#8f93ff,stripe,NVT
17A,#aeac00,stripe,NVT
17F,#7b348b,stripe,NVT
18A,#79db80,stripe,NVT
18B,#bf0032,stripe,NVT
18C,#02c3ab,none,PCV7
18F,#d3400c,stripe,NVT
19A,#43bbff,none,PCV13
19B,#e5630a,stripe,NVT
19F,#a5b4ff,none,PCV7
20,#ff8029,stripe,NVT
20A,#ff8029,stripe,NVT
21,#00a69e,stripe,NVT
22A,#a61104,stripe,NVT
22F,#72db93,stripe,NVT
23A,#ff81c6,stripe,NVT
23A+,#ff81c6,stripe,NVT
23B,#01832a,stripe,NVT
23B+,#01832a,stripe,NVT
23B1,#01832a,stripe,NVT
23F,#ffa2e0,none,PCV7
23F+,#ffa2e0,stripe,NVT
24,#019752,stripe,NVT
24A,#019752,stripe,NVT
24B/24F,#019752,stripe,NVT
24B,#019752,stripe,NVT
24F,#019752,stripe,NVT
25F,#ff7642,stripe,NVT
27,#00807c,stripe,NVT
28A,#bf7000,stripe,NVT
28F,#70d8c7,stripe,NVT
29,#903605,stripe,NVT
31,#55b5b0,stripe,NVT
33A,#c28900,stripe,NVT
33D,#75699c,stripe,NVT
33B,#75699c,stripe,NVT
33B/33D,#75699c,stripe,NVT
33E,#8f8a00,stripe,NVT
33C,#e4b7f0,stripe,NVT
33F,#006933,stripe,NVT
34,#ff897c,stripe,NVT
35A,#006c55,stripe,NVT
35B,#ff9267,stripe,NVT
35C,#2b5d32,stripe,NVT
35F,#ffa955,stripe,NVT
36,#7a3c6f,stripe,NVT
37,#add277,stripe,NVT
38,#903049,stripe,NVT
39,#91d4b2,stripe,NVT
40,#7a452a,stripe,NVT
41F,#96c89c,stripe,NVT
42,#ffa297,stripe,NVT
43,#335d19,stripe,NVT
45,#ffb77a,stripe,NVT
46,#5f875b,stripe,NVT
48,#d89f7f,stripe,NVT
NT,#525706,stripe,NVT
Mixed,transparent,stripe,NVT
Mosaic capsule,transparent,stripe,NVT
spare1,#d1c969,stripe,NVT
spare2,#684f0b,stripe,NVT
spare3,#cfc97e,stripe,NVT
spare4,#776700,stripe,NVT
35D,#72a555,stripe,NVT
6G,#ab62c0,stripe,NVT
10X,#776700,stripe,NVT
20A,#ff8029,stripe,NVT
20B,#cfc97e,stripe,NVT
12A,#e90c50,stripe,NVT
25A,#f1b1d6,stripe,NVT